civil war,465
shaky truce,322
front pages,283
famous sportsmen,278
first aid,249
so close,241
cold war,226
front page,211
tense standoff,196
powerful images,187
dozens dead,185
ukrainian skier,185
civil unrest,181
small business,153
olympic head,146
n't be,143
social protests,138
violent clashes,136
familiar visuals,134
heavyweight champion,132
many front,128
ukrainian capital,126
deadly clashes,126
deadly day,122
euromaidan ukraine,118
ukrainian parliament,114
bloody carnage,113
own people,109
spanish side,108
red line,107
so sad,107
n't believe,105
political crisis,103
basic facts,100
human rights,93
spectacular images,90
n't know,89
economic sanctions,87
soccer friendly,86
amateur video,85
early elections,83
anti-government protesters,83
makeshift hospital,80
military action,79
post-soviet history,79
great news,77
just threw,76
special forces,76
ukrainian people,76
n't want,75
late winner,74
1-0 victory,73
early vote,72
great power,71
ukrainian ministers,70
deadly snipers,70
deadly violence,70
live updates,70
brief truce,69
fresh clashes,69
how many,68
social media,68
incredible images,67
president open,66
polish leader,66
true scale,65
essential travel,63
ukrainian government,63
really happening,63
only media,62
peaceful protesters,61
viral before-and-after,57
before-and-after composite,57
live ammunition,57
late strikes,57
innocent people,56
unarmed protesters,56
single frame,55
violent protests,55
ukrainian lawmakers,54
almost medieval,53
private jets,53
n't have,51
n't think,51
violent demonstrations,50
unbelievable photos,50
most dramatic,50
eternal memory,50
n't get,49
@afp photo,49
not be,48
financial crisis,48
ukrainian opposition,47
ukrainian police,47
makeshift hospitals,46
not sure,46
shatters brief,46
makeshift morgue,45
likely balk,45
last night,44
battered heart,44
active role,44
graphic video,43
live rounds,43
new protester,42
open fire,42
ukrainian protesters,42
ukrainian officials,41
fresh fighting,41
n't forget,41
still mounting,41
people dead,41
shocking scenes,41
very difficult,40
dramatic photos,39
key moments,38
deadly protests,38
already shown,38
euromaidan kiev,38
dead bodies,38
n't stop,37
ukrainian president,37
many people,37
forces ready,36
fiery opposition,36
very sad,36
officials responsible,36
n't derail,36
f4l exclusive,35
political solution,35
brutal video,35
naive president,35
shooting people,34
anti-terrorist operation,34
new deaths,34
few days,33
new post,32
national anthem,32
just voted,32
| vice,31
n't show,31
so much,31
n't like,31
dead today,31
early polls,30
just look,30
own citizens,30
live feed,30
russian president,30
young volunteer,29
different view,29
foreign affairs,29
bloody day,29
holy shit,29
new savagery,29
dangerous turn,29
shocking video,28
n't help,28
foreign ministers,28
foreign policy,28
other countries,28
excessive force,28
maidan protesters,28
violent agony,28
global implications,28
black armbands,28
polish pm,28
n't understand,28
more important,27
armed forces,27
ukranian protesters,27
strong ties,27
n't taking,27
n't take,27
blood-soaked shield,26
shelves empty,26
foreign office,26
live stream,26
reportedly being,26
n't seen,26
protesters dead,25
ukrainian riots,25
civil disorder,25
n't see,25
new sanctions,25
so many,25
ukrainian flag,24
too strong,24
whole world,24
n't care,23
not believe,23
