Tweet,Sentiment,Emotion 1,Emotion 2,Emotion 3,1st Most Prominent Emotion Present in position,2nd Most Prominent Emotion Present in position,3rd Most Prominent Emotion Present in position,Sentiment Accuracy
#psychos #Netanyahu said ?? Attack on #Gaza is #legitimate and #balanced,Negative,Fear,Anger,None,,,,
"More than 80% of the people of Gaza live under $1 a day, while the average Israeli makes $25,000 a year.",Slightly Positive,None,None,None,,,,
#AlAwda #Ohio Regional Rally for Justice in #Palestine this Sunday 8/17 @ Ohio Statehouse #Columbus 1-3PM! #Gaza http://t.co/QIdV2DcKCw,Slightly Positive,Trust,Joy,Joy,,,,
We see #Iraq and #Syria getting broken into small warring states too weak to either challenge Israel or protect Iran https://t.co/Ni87MWeSo2,Negative,Fear,Anger,Sadness,,,,
"The long path to recovery for children in #Gaza, like Mohammed, 12, paralyzed by shrapnel http://t.co/RtWOakazst http://t.co/jPTAikq4J0",Neutral,Fear,Surprise,Sadness,,,,
"Allahu Akbar. @DinarApriyanto: lndn of Gaza, is is made contaminated with the blood of innocence how many more will die ? http://t.co/UgNGhfXyvq�?",Negative,Sadness,Anger,Joy,,,,
"Hollywood woman stuns crowd- ""Nothing to see here, Just the Life in Gaza"" #GazaUnderFire http://t.co/3Fz9P9cbwb",Neutral,Joy,Joy,Joy,,,,
"To give us support, Sidra from London sent SGP this picture. We stand with our friends in #Palestine. Thank you! http://t.co/uSX7VcU7AJ",Slightly Positive,Joy,Anticipation,Joy,,,,
GRAPHIC: Gaza's humanitarian toll and buildings damaged http://t.co/TbHsWNXjgW,Positive,Joy,Trust,Surprise,,,,
Humanity!,Slightly Positive,Joy,Trust,Joy,,,,
"Head of Gaza bomb squad killed as 1,000 tons of Israeli munitions remain http://t.co/httBogyu6v",Negative,Fear,Disgust,Surprise,,,,
Pray for the displaced people of Gaza..,Slightly Positive,Fear,Joy,Trust,,,,
BRAVO!,Neutral,Joy,Joy,Joy,,,,
who stood up2 Israeli occupation forces gets #Bravery award n #istanbul #Turkey!,Positive,Joy,Trust,Surprise,,,,
Massive artillery shelling may have caused numerous civilian fatalities in Gaza http://t.co/dMx5k269TO,Negative,Anger,Fear,Joy,,,,
"Fu’ad Zuhair Jaber, 27 y/o, a paramedic, killed on 7/20 in Shuja'iyya #Gaza after Israel bombed ambulance he was in. http://t.co/ST8lDxrTe6",Negative,Fear,Disgust,Trust,,,,
More images from today's protest outside parliament. 150 sit in small boxes in solidarity with Palestinians. #Gaza http://t.co/BzxnlLbXDa,Slightly Negative,Trust,Joy,Joy,,,,
Israeli commander: Israel has deployed massive artillery firepower. Such firepower is impossible to target precisely http://t.co/czTdq940Yw,Slightly Negative,Sadness,Joy,Joy,,,,
A la gentucha le encanta quemar banderas de otros paises...,Neutral,Joy,Joy,Joy,,,,
"To #Ferguson, from Palestine http://t.co/kUpehppsG9",Neutral,Joy,Joy,Joy,,,,
Thirsty in Gaza: Israel Destroyed or Damaged 28 Miles of Water Pipes http://t.co/4GQXVAIyNh,Slightly Negative,Fear,Sadness,Anger,,,,
From Palestine #michaelbrownshooting  #Ferguson #MichaelBrown http://t.co/H1MSf7pNRD,Neutral,Joy,Joy,Joy,,,,
Israel: #jcot #tcot Poll: Most Americans Disapprove of Obama's Israel Policy http://t.co/pRUfl8oo5n,Negative,Fear,Sadness,Disgust,,,,
No Comment! ; finish the job Thousands of Israelis rally in support of #Gaza offense http://t.co/wMxXN3x9so http://t.co/e1hcKH6xs2,Slightly Positive,Trust,Fear,Sadness,,,,
TOMORROW : #WestBank rage ..join in every city... ,Slightly Positive,Joy,Joy,Joy,,,,
Palestinians in #Gaza/West Bank have been showing support for #Ferguson. Even offering tips on dealing with teargas. http://t.co/Gc6ykBMU1l,Neutral,Trust,Joy,Joy,,,,
Racism still alive they just be concealing it #Ferguson #Gaza #FreePalestine,Slightly Negative,Anger,Joy,Trust,,,,
"UN figure for Hamas fighters killed in Gaza 242, out of a total of 1900 dead..in other words over 1600 civilians including some 500 children",Neutral,Anger,Joy,Joy,,,,
"I support #Israel. if you're an American Supporting HAMAS or ISIS, you must be a Demon-crat ! #TCOT #TeaParty http://t.co/1TsDejcIMy",Neutral,Joy,Joy,Joy,,,,
The black residents of Ferguson are governed by white police and they say it feels more like Gaza than America http://t.co/KFgc5jPEXq,Slightly Negative,Sadness,Trust,Fear,,,,
Netanyahu opposes UN investigation of Israel war crimes since it's a democracy. As if democracies never abuse rights. http://t.co/92Z3DTLRCG,Positive,Sadness,Disgust,Anger,,,,
Gotta love Israel man #fellas,Slightly Positive,Joy,Joy,Joy,,,,
Son of satan Netanyahu indicates Israel wont cooperate with UN probe #ICC4Isarel #GazaGenocide http://t.co/cqta044BpJ http://t.co/99ehx7KvQZ,Slightly Positive,Anticipation,Joy,Joy,,,,
Israeli cabinet meeting scheduled for 8:30am following increase in positive statements by Palestinian factions that Gaza truce deal is close,Very Positive,Trust,Joy,Surprise,,,,
"Israeli Economics Minister: “For every rocket launched into Israel, Israel should bomb 20 Hamas commanders’ homes http://t.co/iAN6qcoi0i",Neutral,Anger,Fear,Surprise,,,,
So @MegWhitman @HP Your tech promotes oppression in occupied Palestine -- How much baby blood can HP handle? http://t.co/0geQ7qX1Pu,Slightly Negative,Sadness,Trust,Anger,,,,
These Are the Unseen Victims of the Israeli-Palestinian Conflict http://t.co/UCPGq7XW3I,Negative,Sadness,Fear,Anger,,,,
"Israel akan takut,",Neutral,Joy,Joy,Joy,,,,
Israel changed barcode form 729 to 871 to avoid boycott ...,Negative,Sadness,Disgust,Anger,,,,
"Usual blather on UN rights chief for daring to criticize Israel: must be biased, anti-Semitic, filled w/ hate. Israel never violates rights.",Slightly Positive,Anger,Joy,Joy,,,,
Venezuela Sending 16 Tons of Humanitarian Aid to the Gaza Strip #venezuelaconpalestina http://t.co/HOPeAJDwkE,Positive,Joy,Trust,Surprise,,,,
#Hamas claims it was not behind the rockets fired into southern #Israel. No claim of responsibility yet but it could be another group.,Neutral,Joy,Joy,Joy,,,,
Kids getting out in #Gaza to play together during cease fire! Mashallah look how happy they are #FreePalestine http://t.co/Cg6Jj5jgoO,Very Negative,Sadness,Joy,Joy,,,,
finish th job Thousands of Israelis rally in support of #Gaza offense (PHOTOS) http://t.co/Ba6dS7O0gl http://t.co/Sz9kDBT0VE,Slightly Negative,Disgust,Fear,Sadness,,,,
